,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
1,5.5,3.5,1.3,0.2,setosa
2,6.1,2.9,4.7,1.4,versicolor
3,5.2,2.7,3.9,1.4,versicolor
4,6.9,3.2,5.7,2.3,virginica
5,4.9,3.6,1.4,0.1,setosa
6,6.4,2.8,5.6,2.2,virginica
7,6.8,3,5.5,2.1,virginica
8,5.6,3,4.1,1.3,versicolor
9,7.9,3.8,6.4,2,virginica
10,4.8,3,1.4,0.3,setosa
11,6.5,3,5.8,2.2,virginica
12,5.7,2.8,4.1,1.3,versicolor
13,6.4,3.1,5.5,1.8,virginica
14,7.1,3,5.9,2.1,virginica
15,6.9,3.1,4.9,1.5,versicolor
16,6.8,3.2,5.9,2.3,virginica
17,6.2,2.9,4.3,1.3,versicolor
18,6.1,3,4.6,1.4,versicolor
19,6.1,2.6,5.6,1.4,virginica
20,4.6,3.4,1.4,0.3,setosa
21,5.7,2.8,4.5,1.3,versicolor
22,6.9,3.1,5.4,2.1,virginica
23,7,3.2,4.7,1.4,versicolor
24,4.4,2.9,1.4,0.2,setosa
25,5.2,4.1,1.5,0.1,setosa
26,6.3,3.3,6,2.5,virginica
27,5.6,2.7,4.2,1.3,versicolor
28,5.6,2.9,3.6,1.3,versicolor
29,4.9,2.5,4.5,1.7,virginica
30,6.3,3.4,5.6,2.4,virginica
31,5.1,3.5,1.4,0.3,setosa
32,5.7,4.4,1.5,0.4,setosa
33,5.7,3.8,1.7,0.3,setosa
34,4.6,3.1,1.5,0.2,setosa
35,5.7,2.5,5,2,virginica
36,6.5,3,5.5,1.8,virginica
37,6.7,3.1,5.6,2.4,virginica
38,6.4,2.9,4.3,1.3,versicolor
39,4.7,3.2,1.6,0.2,setosa
40,6,3,4.8,1.8,virginica
41,5.1,3.8,1.9,0.4,setosa
42,7.3,2.9,6.3,1.8,virginica
43,6,3.4,4.5,1.6,versicolor
44,6,2.2,4,1,versicolor
45,5,3.3,1.4,0.2,setosa
46,5.1,3.8,1.6,0.2,setosa
47,6.9,3.1,5.1,2.3,virginica
48,5.9,3.2,4.8,1.8,versicolor
49,5.8,2.7,5.1,1.9,virginica
50,6.7,3.3,5.7,2.5,virginica
51,5.1,3.4,1.5,0.2,setosa
52,6.3,2.7,4.9,1.8,virginica
53,5.4,3.9,1.3,0.4,setosa
54,6.4,2.8,5.6,2.1,virginica
55,5.4,3.4,1.5,0.4,setosa
56,6.3,2.9,5.6,1.8,virginica
57,5,2.3,3.3,1,versicolor
58,6.2,2.8,4.8,1.8,virginica
59,7.2,3.2,6,1.8,virginica
60,6.7,3.3,5.7,2.1,virginica
61,6,2.2,5,1.5,virginica
62,4.8,3.4,1.6,0.2,setosa
63,5.1,3.8,1.5,0.3,setosa
64,6.3,3.3,4.7,1.6,versicolor
65,5,3.4,1.6,0.4,setosa
66,6,2.7,5.1,1.6,versicolor
67,5.2,3.5,1.5,0.2,setosa
68,6.4,3.2,5.3,2.3,virginica
69,6,2.9,4.5,1.5,versicolor
70,5.5,2.4,3.8,1.1,versicolor
71,5.8,2.6,4,1.2,versicolor
72,6.2,3.4,5.4,2.3,virginica
73,6.3,2.5,4.9,1.5,versicolor
74,6.5,2.8,4.6,1.5,versicolor
75,5,3,1.6,0.2,setosa
76,5.4,3.7,1.5,0.2,setosa
77,4.4,3,1.3,0.2,setosa
78,5.1,3.7,1.5,0.4,setosa
79,6.7,3.1,4.7,1.5,versicolor
80,6.4,3.2,4.5,1.5,versicolor
81,7.7,3.8,6.7,2.2,virginica
82,4.9,2.4,3.3,1,versicolor
83,6.7,3.1,4.4,1.4,versicolor
84,6.6,3,4.4,1.4,versicolor
85,4.5,2.3,1.3,0.3,setosa
86,7.7,2.6,6.9,2.3,virginica
87,5.4,3.4,1.7,0.2,setosa
88,4.6,3.6,1,0.2,setosa
89,6.3,2.3,4.4,1.3,versicolor
90,6.8,2.8,4.8,1.4,versicolor
91,5.2,3.4,1.4,0.2,setosa
92,5.5,4.2,1.4,0.2,setosa
93,5.1,3.5,1.4,0.2,setosa
94,5.9,3,5.1,1.8,virginica
95,5,3.6,1.4,0.2,setosa
96,5.7,3,4.2,1.2,versicolor
97,5.8,2.7,5.1,1.9,virginica
98,6.2,2.2,4.5,1.5,versicolor
99,6.7,3,5,1.7,versicolor
100,4.3,3,1.1,0.1,setosa
101,5.8,4,1.2,0.2,setosa
102,6.4,2.7,5.3,1.9,virginica
103,6.1,2.8,4.7,1.2,versicolor
104,6.1,3,4.9,1.8,virginica
105,5.5,2.3,4,1.3,versicolor
106,7.7,2.8,6.7,2,virginica
107,5.6,2.8,4.9,2,virginica
108,6.5,3.2,5.1,2,virginica
109,5.4,3.9,1.7,0.4,setosa
110,5.8,2.8,5.1,2.4,virginica
111,4.4,3.2,1.3,0.2,setosa
112,5,2,3.5,1,versicolor
113,7.6,3,6.6,2.1,virginica
114,5.7,2.6,3.5,1,versicolor
115,4.8,3,1.4,0.1,setosa
116,5,3.5,1.3,0.3,setosa
117,5.8,2.7,3.9,1.2,versicolor
118,6.1,2.8,4,1.3,versicolor
119,4.9,3.1,1.5,0.1,setosa
120,5.1,3.3,1.7,0.5,setosa
